ts_code,datetime,close,open,high,low,vol,amount
002022.SZ,2026-03-16 11:15:00,5.98,5.98,5.98,5.97,9000.0,53805.0
002022.SZ,2026-03-16 11:16:00,5.98,5.98,5.98,5.98,5800.0,34684.0
002022.SZ,2026-03-16 11:17:00,5.99,5.99,5.99,5.99,8200.0,49118.0
002022.SZ,2026-03-16 11:18:00,5.99,5.98,5.99,5.98,17000.0,101829.0
002022.SZ,2026-03-16 11:19:00,5.99,5.99,5.99,5.99,1600.0,9584.0
002022.SZ,2026-03-16 11:20:00,5.99,5.98,5.99,5.98,23800.0,142329.0
002022.SZ,2026-03-16 11:21:00,5.98,5.98,5.98,5.98,900.0,5390.0
002022.SZ,2026-03-16 11:22:00,5.98,5.98,5.98,5.98,0.0,0.0
002022.SZ,2026-03-16 11:23:00,5.98,5.98,5.98,5.97,9000.0,53812.0
002022.SZ,2026-03-16 11:24:00,5.98,5.98,5.98,5.98,1500.0,8970.0
002022.SZ,2026-03-16 11:25:00,5.98,5.98,5.99,5.98,20700.0,123849.0
002022.SZ,2026-03-16 11:26:00,5.99,5.99,5.99,5.99,900.0,5385.0
002022.SZ,2026-03-16 11:27:00,5.98,5.99,5.99,5.98,3600.0,21539.0
002022.SZ,2026-03-16 11:28:00,5.98,5.98,5.98,5.98,7300.0,43641.0
002022.SZ,2026-03-16 11:29:00,5.98,5.98,5.98,5.98,6400.0,38272.0
002022.SZ,2026-03-16 11:30:00,5.97,5.98,5.98,5.97,17500.0,104536.0
002022.SZ,2026-03-16 13:01:00,6.0,5.98,6.0,5.98,604500.0,3614798.0
002022.SZ,2026-03-16 13:02:00,6.0,6.0,6.0,6.0,29600.0,177600.0
002022.SZ,2026-03-16 13:03:00,6.0,6.0,6.01,6.0,32300.0,193811.0
002022.SZ,2026-03-16 13:04:00,6.0,6.0,6.01,5.99,19100.0,114615.0
002022.SZ,2026-03-16 13:05:00,6.01,6.01,6.01,6.01,6200.0,37262.0
