ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300760.SZ,20251218,196.0,199.91,195.75,197.77,196.36,1.41,0.7181,48335.49,957501.152
300760.SZ,20251219,197.7,200.3,197.51,198.19,197.77,0.42,0.2124,47550.16,944854.022
300760.SZ,20251222,198.34,200.93,197.75,199.7,198.19,1.51,0.7619,50421.43,1007424.679
300760.SZ,20251223,200.0,200.45,198.0,198.07,199.7,-1.63,-0.8162,42562.22,845242.974
300760.SZ,20251224,197.75,198.73,197.31,198.13,198.07,0.06,0.0303,34517.61,683646.785
300760.SZ,20251225,198.0,202.1,197.06,201.43,198.13,3.3,1.6656,57631.1,1154498.72
300760.SZ,20251226,201.25,201.88,199.61,199.99,201.43,-1.44,-0.7149,41233.88,825869.252
300760.SZ,20251229,200.02,201.5,198.8,199.0,199.99,-0.99,-0.495,51736.89,1033931.127
300760.SZ,20251230,199.03,199.5,194.98,195.59,199.0,-3.41,-1.7136,82724.16,1623313.218
300760.SZ,20251231,195.2,195.38,190.37,190.45,195.59,-5.14,-2.6279,113748.04,2181941.819
300760.SZ,20260105,190.46,199.86,190.46,199.6,190.45,9.15,4.8044,169748.45,3338574.021
300760.SZ,20260106,200.5,205.7,200.11,203.94,199.6,4.34,2.1743,134773.21,2736507.776
300760.SZ,20260107,203.87,204.14,200.04,200.87,203.94,-3.07,-1.5053,97680.42,1970678.841
300760.SZ,20260108,201.25,203.3,199.3,201.71,200.87,0.84,0.4182,83669.47,1684368.758
300760.SZ,20260109,202.0,205.2,201.85,203.68,201.71,1.97,0.9766,89798.0,1827441.993
300760.SZ,20260112,204.75,209.31,204.5,208.03,203.68,4.35,2.1357,129125.14,2681170.242
300760.SZ,20260113,209.2,213.08,207.5,208.22,208.03,0.19,0.0913,156085.09,3275701.164
300760.SZ,20260114,208.0,214.12,206.12,207.76,208.22,-0.46,-0.2209,155120.54,3264068.434
300760.SZ,20260115,206.75,207.5,203.5,204.08,207.76,-3.68,-1.7713,99753.95,2042603.169
300760.SZ,20260116,204.51,206.71,201.03,201.19,204.08,-2.89,-1.4161,96088.26,1947856.719
300760.SZ,20260119,201.19,202.88,199.88,200.19,201.19,-1.0,-0.497,71559.55,1438803.781
300760.SZ,20260120,200.91,201.18,196.6,197.0,200.19,-3.19,-1.5935,81094.2,1607818.354
300760.SZ,20260121,196.9,198.18,195.06,195.3,197.0,-1.7,-0.8629,75113.34,1475799.679
300760.SZ,20260122,195.85,196.09,193.35,193.5,195.3,-1.8,-0.9217,72341.51,1406657.819
300760.SZ,20260123,194.75,197.0,194.3,195.51,193.5,2.01,1.0388,83472.62,1633560.992
300760.SZ,20260126,195.88,196.72,193.13,195.1,195.51,-0.41,-0.2097,99070.37,1927293.439
300760.SZ,20260127,195.25,196.5,192.0,192.16,195.1,-2.94,-1.5069,95524.48,1847847.777
300760.SZ,20260128,192.1,192.15,188.0,188.06,192.16,-4.1,-2.1336,143050.5,2710394.003
300760.SZ,20260129,188.07,194.5,186.75,193.38,188.06,5.32,2.8289,116544.56,2228474.532
300760.SZ,20260130,193.33,193.33,189.26,189.26,193.38,-4.12,-2.1305,75037.22,1433946.563
300760.SZ,20260202,189.5,190.95,187.11,187.11,189.26,-2.15,-1.136,66633.76,1259069.263
300760.SZ,20260203,187.79,188.88,187.03,188.15,187.11,1.04,0.5558,57471.24,1080126.908
300760.SZ,20260204,187.98,193.22,187.37,192.66,188.15,4.51,2.397,84305.84,1602704.046
300760.SZ,20260205,191.96,193.5,191.25,192.1,192.66,-0.56,-0.2907,56819.61,1093047.725
300760.SZ,20260206,191.89,192.32,188.66,189.49,192.1,-2.61,-1.3587,70936.55,1346819.776
300760.SZ,20260209,189.68,189.94,188.81,189.17,189.49,-0.32,-0.1689,50720.57,959213.244
300760.SZ,20260210,189.16,191.0,188.68,190.36,189.17,1.19,0.6291,51748.28,983171.129
300760.SZ,20260211,190.0,190.38,189.12,189.21,190.36,-1.15,-0.6041,35631.78,675849.315
300760.SZ,20260212,189.21,189.77,188.0,188.0,189.21,-1.21,-0.6395,46481.76,875685.158
300760.SZ,20260213,187.96,187.96,185.67,185.77,188.0,-2.23,-1.1862,64605.77,1204825.807
300760.SZ,20260224,187.82,187.95,185.79,186.2,185.77,0.43,0.2315,42495.37,792131.147
300760.SZ,20260225,186.2,187.94,185.15,186.96,186.2,0.76,0.4082,50335.61,941800.595
300760.SZ,20260226,187.6,189.99,186.5,187.28,186.96,0.32,0.1712,57759.8,1084388.865
300760.SZ,20260227,186.9,186.9,185.78,185.92,187.28,-1.36,-0.7262,53193.41,989897.082
300760.SZ,20260302,184.91,186.01,181.75,183.7,185.92,-2.22,-1.1941,86209.61,1584365.515
300760.SZ,20260303,183.25,183.85,180.3,180.4,183.7,-3.3,-1.7964,85671.85,1556552.528
300760.SZ,20260304,179.75,179.78,175.75,175.75,180.4,-4.65,-2.5776,88354.47,1566433.299
300760.SZ,20260305,178.0,178.3,175.9,176.2,175.75,0.45,0.256,50981.38,901181.052
300760.SZ,20260306,175.8,182.25,175.5,181.37,176.2,5.17,2.9342,76384.94,1378955.726
300760.SZ,20260309,179.5,181.98,177.83,178.78,181.37,-2.59,-1.428,58667.63,1052744.457
300760.SZ,20260310,179.99,180.76,179.27,180.34,178.78,1.56,0.8726,39387.99,709263.505
300760.SZ,20260311,180.5,181.85,179.32,180.57,180.34,0.23,0.1275,51409.47,927062.42
300760.SZ,20260312,180.3,180.72,178.01,178.18,180.57,-2.39,-1.3236,49683.01,888132.452
300760.SZ,20260313,178.51,179.21,177.32,178.57,178.18,0.39,0.2189,39191.06,699907.578
300760.SZ,20260316,179.0,179.13,176.66,177.25,178.57,-1.32,-0.7392,51759.44,918869.004
300760.SZ,20260317,177.5,180.55,177.18,178.1,177.25,0.85,0.4795,71737.27,1284850.937
300760.SZ,20260318,177.8,178.39,174.24,174.92,178.1,-3.18,-1.7855,81501.12,1428657.766
300760.SZ,20260319,173.18,173.95,171.69,171.86,174.92,-3.06,-1.7494,67672.5,1167586.341
300760.SZ,20260320,171.86,173.23,169.52,169.52,171.86,-2.34,-1.3616,66369.41,1133363.431
300760.SZ,20260323,167.01,168.75,165.17,165.61,169.52,-3.91,-2.3065,87857.93,1465283.908
300760.SZ,20260324,167.96,168.25,165.25,166.37,165.61,0.76,0.4589,56092.47,932803.796
300760.SZ,20260325,168.0,168.49,166.78,167.47,166.37,1.1,0.6612,52101.87,873242.057
300760.SZ,20260326,166.99,168.25,164.25,164.3,167.47,-3.17,-1.8929,62222.87,1031465.535
300760.SZ,20260327,163.0,169.98,162.6,169.6,164.3,5.3,3.2258,79019.69,1327258.389
300760.SZ,20260330,168.5,171.49,168.04,170.77,169.6,1.17,0.6899,61306.35,1043269.848
300760.SZ,20260331,167.36,169.0,164.66,164.66,170.77,-6.11,-3.5779,89706.21,1495198.847
300760.SZ,20260401,165.76,170.25,164.75,165.9,164.66,1.24,0.7531,98331.02,1639402.203
300760.SZ,20260402,165.5,165.58,162.1,162.4,165.9,-3.5,-2.1097,91590.12,1495120.696
300760.SZ,20260403,161.98,162.44,158.32,158.4,162.4,-4.0,-2.4631,75718.85,1207402.89
300760.SZ,20260407,158.43,159.78,157.36,157.76,158.4,-0.64,-0.404,47254.84,748480.77
300760.SZ,20260408,159.53,162.98,159.53,162.92,157.76,5.16,3.2708,81943.02,1325537.834
300760.SZ,20260409,161.5,161.91,156.18,156.3,162.92,-6.62,-4.0633,118938.84,1879819.789
300760.SZ,20260410,157.1,159.98,156.35,158.18,156.3,1.88,1.2028,87890.75,1391683.141
300760.SZ,20260413,157.5,159.62,156.51,157.94,158.18,-0.24,-0.1517,59907.31,946382.375
300760.SZ,20260414,158.68,161.57,156.91,160.46,157.94,2.52,1.5955,89108.06,1415425.782
300760.SZ,20260415,161.54,162.62,160.02,160.3,160.46,-0.16,-0.0997,66862.83,1076187.327
300760.SZ,20260416,160.32,160.86,159.46,160.46,160.3,0.16,0.0998,54493.17,872440.53
300760.SZ,20260417,159.92,159.92,156.71,156.75,160.46,-3.71,-2.3121,89170.87,1404800.005
