ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601138.SH,20251201,60.03,60.21,58.0,59.81,60.72,-0.91,-1.4987,1807887.0,10722486.46
601138.SH,20251202,59.83,62.7,59.72,60.96,59.81,1.15,1.9228,2091277.21,12795589.25
601138.SH,20251203,61.0,62.77,61.0,61.68,60.96,0.72,1.1811,1865931.18,11572935.737
601138.SH,20251204,60.88,62.96,59.68,61.4,61.68,-0.28,-0.454,1570774.68,9625767.961
601138.SH,20251205,61.99,62.26,60.0,61.12,61.4,-0.28,-0.456,1305590.29,7989114.088
601138.SH,20251208,60.75,64.27,60.38,63.41,61.12,2.29,3.7467,2410753.71,15117129.371
601138.SH,20251209,64.0,68.38,63.18,67.99,63.41,4.58,7.2228,2938039.72,19562027.296
601138.SH,20251210,66.84,66.96,64.0,65.21,67.99,-2.78,-4.0888,2195275.24,14245136.589
601138.SH,20251211,64.01,64.88,61.61,62.3,65.21,-2.91,-4.4625,1920906.69,12140309.727
601138.SH,20251212,61.0,62.5,59.86,61.75,62.3,-0.55,-0.8828,1685143.61,10301366.982
601138.SH,20251215,59.5,60.68,59.11,59.14,61.75,-2.61,-4.2267,1374057.76,8203956.641
601138.SH,20251216,58.95,60.32,58.38,58.95,59.14,-0.19,-0.3213,1294221.0,7675208.175
601138.SH,20251217,59.1,61.56,58.68,61.5,58.95,2.55,4.3257,1622526.39,9798305.828
601138.SH,20251218,59.56,59.86,58.25,58.28,61.5,-3.22,-5.2358,1761502.13,10379614.296
601138.SH,20251219,59.19,59.22,57.74,58.3,58.28,0.02,0.0343,990077.15,5794317.5
601138.SH,20251222,59.47,61.0,59.12,60.62,58.3,2.32,3.9794,1764852.82,10628028.374
601138.SH,20251223,60.56,63.38,60.32,62.86,60.62,2.24,3.6952,2164937.55,13545831.355
601138.SH,20251224,64.18,66.0,63.59,65.14,62.86,2.28,3.6271,2178730.34,14124843.136
601138.SH,20251225,65.4,68.15,65.4,66.72,65.14,1.58,2.4255,2022245.28,13545522.35
601138.SH,20251226,66.5,66.5,63.8,63.84,66.72,-2.88,-4.3165,1929297.4,12420981.635
601138.SH,20251229,63.74,66.39,63.73,65.24,63.84,1.4,2.193,1884924.24,12359241.737
601138.SH,20251230,63.8,65.3,63.01,64.23,65.24,-1.01,-1.5481,1492961.67,9567558.935
601138.SH,20251231,64.24,64.54,61.86,62.05,64.23,-2.18,-3.3941,1564103.78,9816587.478
601138.SH,20260105,63.29,64.28,62.71,63.67,62.05,1.62,2.6108,1593405.65,10131702.308
601138.SH,20260106,63.67,64.97,62.86,64.05,63.67,0.38,0.5968,1708615.19,10875605.983
601138.SH,20260107,63.41,64.66,62.6,63.15,64.05,-0.9,-1.4052,1657003.24,10505069.732
601138.SH,20260108,63.31,63.47,61.07,61.33,63.15,-1.82,-2.882,1859715.26,11514884.182
601138.SH,20260109,60.5,61.75,60.05,61.48,61.33,0.15,0.2446,1565320.98,9545355.899
601138.SH,20260112,61.49,61.7,59.75,60.93,61.48,-0.55,-0.8946,2110816.25,12764097.982
601138.SH,20260113,60.78,61.73,59.09,59.43,60.93,-1.5,-2.4618,1930316.06,11626275.822
601138.SH,20260114,60.1,60.49,59.37,60.0,59.43,0.57,0.9591,1562401.85,9382960.104
601138.SH,20260115,59.3,61.0,58.89,60.79,60.0,0.79,1.3167,1426215.11,8569045.663
601138.SH,20260116,61.2,64.0,61.2,63.0,60.46,2.54,4.2011,2625962.71,16419501.558
601138.SH,20260119,62.11,62.18,60.71,60.9,63.0,-2.1,-3.3333,1883890.09,11531498.547
601138.SH,20260120,60.3,60.45,58.8,59.67,60.9,-1.23,-2.0197,1395115.12,8288321.804
601138.SH,20260121,58.71,61.79,58.7,61.56,59.67,1.89,3.1674,1734935.93,10542404.628
601138.SH,20260122,61.69,63.0,60.79,62.75,61.56,1.19,1.9331,2218562.97,13776641.286
601138.SH,20260123,62.0,62.05,60.08,60.11,62.75,-2.64,-4.2072,2032992.33,12294797.171
601138.SH,20260126,60.09,60.09,59.01,59.26,60.11,-0.85,-1.4141,1178430.7,6991157.495
601138.SH,20260127,59.51,62.0,58.7,60.97,59.26,1.71,2.8856,2123444.95,12908317.103
601138.SH,20260128,62.3,62.64,60.11,60.69,60.97,-0.28,-0.4592,1719901.22,10559474.461
601138.SH,20260129,60.68,60.88,56.88,57.6,60.69,-3.09,-5.0914,3245544.03,19026938.369
601138.SH,20260130,57.0,58.0,55.62,57.7,57.6,0.1,0.1736,1731944.49,9842501.365
601138.SH,20260202,56.8,57.5,55.67,55.68,57.7,-2.02,-3.5009,1563503.48,8818528.987
601138.SH,20260203,56.3,56.42,54.03,55.75,55.68,0.07,0.1257,1675102.56,9241044.779
601138.SH,20260204,54.69,54.78,52.6,53.41,55.75,-2.34,-4.1973,1890656.43,10116227.141
601138.SH,20260205,52.27,54.32,52.2,53.88,53.41,0.47,0.88,1443856.46,7764330.346
601138.SH,20260206,53.0,55.48,52.41,54.4,53.88,0.52,0.9651,1377722.02,7455379.489
601138.SH,20260209,56.2,56.5,55.31,55.52,54.4,1.12,2.0588,1400986.39,7821090.847
601138.SH,20260210,55.73,56.99,55.58,56.07,55.52,0.55,0.9906,1113030.19,6274389.648
601138.SH,20260211,55.6,56.12,55.01,55.2,56.07,-0.87,-1.5516,750771.86,4155196.768
601138.SH,20260212,55.35,55.96,54.52,55.33,55.2,0.13,0.2355,834276.28,4602131.757
601138.SH,20260213,54.45,55.75,54.2,54.75,55.33,-0.58,-1.0483,687645.97,3783935.4
601138.SH,20260224,55.41,56.09,54.9,55.38,54.75,0.63,1.1507,1075009.87,5974129.887
601138.SH,20260225,55.81,57.58,55.7,57.39,55.38,2.01,3.6295,1699411.69,9646922.041
601138.SH,20260226,57.4,58.54,56.3,57.95,57.39,0.56,0.9758,1627259.55,9381200.542
601138.SH,20260227,56.3,56.44,55.1,55.7,57.95,-2.25,-3.8827,1701811.86,9452131.332
601138.SH,20260302,54.0,56.0,53.84,55.53,55.7,-0.17,-0.3052,1184120.05,6514506.279
601138.SH,20260303,55.84,57.8,54.88,54.88,55.53,-0.65,-1.1705,1932188.49,10900358.312
601138.SH,20260304,53.98,55.16,53.51,53.76,54.88,-1.12,-2.0408,1075282.29,5812734.183
601138.SH,20260305,54.79,56.26,54.33,55.1,53.76,1.34,2.4926,1362380.15,7536714.792
601138.SH,20260306,54.8,54.9,53.8,54.33,55.1,-0.77,-1.3975,869297.91,4715933.837
601138.SH,20260309,52.76,52.94,51.21,52.79,54.33,-1.54,-2.8345,1694578.5,8790865.611
601138.SH,20260310,53.63,54.38,53.4,54.36,52.79,1.57,2.974,1173850.56,6334070.661
601138.SH,20260311,54.7,54.99,53.6,53.89,54.36,-0.47,-0.8646,1220073.45,6604832.935
601138.SH,20260312,53.9,54.78,52.22,52.54,53.89,-1.35,-2.5051,1410060.96,7525158.919
601138.SH,20260313,52.02,53.17,52.01,52.49,52.54,-0.05,-0.0952,941797.92,4954742.371
601138.SH,20260316,52.18,52.74,51.5,52.7,52.49,0.21,0.4001,1010045.02,5253463.754
601138.SH,20260317,52.99,53.18,50.87,50.9,52.7,-1.8,-3.4156,1319376.0,6852068.262
601138.SH,20260318,51.3,52.14,50.85,52.06,50.9,1.16,2.279,1174776.31,6043832.732
601138.SH,20260319,51.0,51.29,50.2,50.46,52.06,-1.6,-3.0734,1056018.48,5355120.885
601138.SH,20260320,50.98,52.45,50.21,50.3,50.46,-0.16,-0.3171,1544521.25,7926093.368
601138.SH,20260323,48.95,49.09,47.35,47.6,50.3,-2.7,-5.3678,1370951.23,6598957.078
601138.SH,20260324,48.57,48.88,47.49,48.84,47.6,1.24,2.605,1107628.99,5341877.103
601138.SH,20260325,49.39,51.0,49.02,50.31,48.84,1.47,3.0098,1264703.38,6338624.656
601138.SH,20260326,50.0,51.5,49.57,49.74,50.31,-0.57,-1.133,1072890.28,5412614.174
601138.SH,20260327,48.63,49.9,48.4,49.53,49.74,-0.21,-0.4222,784644.89,3859064.96
601138.SH,20260330,48.46,49.29,48.33,49.27,49.53,-0.26,-0.5249,662623.88,3236146.194
601138.SH,20260331,49.0,52.85,48.53,51.46,49.27,2.19,4.4449,2386740.08,12272913.185
601138.SH,20260401,53.0,53.5,51.47,53.32,51.46,1.86,3.6145,2154300.14,11336940.98
601138.SH,20260402,52.66,54.45,51.75,52.0,53.32,-1.32,-2.4756,1571750.51,8293713.011
601138.SH,20260403,52.6,53.18,52.0,52.18,52.0,0.18,0.3462,1045400.59,5487285.897
601138.SH,20260407,52.98,54.0,52.0,52.58,52.18,0.4,0.7666,1205863.93,6393557.117
601138.SH,20260408,54.16,56.61,53.38,56.61,52.58,4.03,7.6645,2517587.12,13875060.959
601138.SH,20260409,55.0,55.81,54.8,55.02,56.61,-1.59,-2.8087,1553886.73,8582699.872
601138.SH,20260410,55.6,57.27,55.33,56.52,55.02,1.5,2.7263,1909440.86,10791045.831
601138.SH,20260413,56.0,56.55,55.4,55.7,56.52,-0.82,-1.4508,1357148.72,7584957.099
601138.SH,20260414,56.47,59.29,56.13,58.92,55.7,3.22,5.781,2549506.77,14856724.142
601138.SH,20260415,59.36,59.97,57.2,57.82,58.92,-1.1,-1.8669,1973741.23,11572417.274
601138.SH,20260416,57.99,59.99,57.4,59.32,57.82,1.5,2.5943,1805236.24,10650559.627
601138.SH,20260417,59.6,61.2,58.98,60.97,59.32,1.65,2.7815,1878179.0,11395671.421
