trade_date,open,high,low,close,vol
20251125,63.0,64.1,62.93,63.04,216534.63
20251126,63.06,63.88,62.82,63.7,168651.0
20251127,63.4,66.33,63.35,65.9,378088.66
20251128,65.89,67.98,65.85,67.12,388355.22
20251201,66.97,68.18,66.6,67.96,312903.08
20251202,67.8,68.09,66.9,67.0,205282.97
20251203,67.2,69.37,67.13,68.2,459657.55
20251204,68.07,68.8,67.26,67.68,191121.02
20251205,67.82,70.67,67.7,69.98,496446.3
20251208,70.2,70.7,69.38,69.97,329802.85
20251209,69.97,71.0,69.0,69.3,332060.86
20251210,68.97,69.43,67.9,69.3,238362.99
20251211,69.31,70.5,68.18,68.47,199392.22
20251212,68.47,68.81,67.53,68.47,225459.49
20251215,68.44,70.99,68.0,69.69,352823.6
20251216,69.55,70.19,67.98,70.07,280234.8
20251217,69.75,74.88,69.75,74.22,701133.83
20251218,74.23,76.99,73.85,75.54,506723.1
20251219,75.07,76.08,75.07,75.59,243168.29
20251222,75.59,76.19,75.11,75.79,264728.38
20251223,75.81,76.18,74.5,74.8,259293.25
20251224,74.98,77.37,74.86,77.07,346061.52
20251225,77.09,78.5,76.67,76.71,245153.18
20251226,76.6,78.0,75.7,76.98,271029.18
20251229,76.92,77.2,75.7,76.15,213799.64
20251230,75.5,77.99,75.02,77.0,266284.29
20251231,76.8,77.43,76.09,76.68,164028.35
20260105,77.2,78.81,76.23,77.33,261561.4
20260106,77.03,83.38,77.03,82.95,584610.93
20260107,82.25,83.66,81.4,81.93,323223.27
20260108,81.92,81.92,78.43,79.69,465476.05
20260109,80.0,80.61,78.41,79.35,333618.51
20260112,79.33,79.88,77.66,78.14,375752.05
20260113,78.08,80.13,77.77,78.76,355111.88
20260114,78.67,80.56,77.8,77.8,418676.18
20260115,77.5,80.94,77.31,79.46,399139.65
20260116,80.15,81.18,78.0,78.72,333612.11
20260119,77.9,82.79,77.39,82.4,507343.8
20260120,82.38,86.97,82.12,86.02,696985.85
20260121,86.2,86.69,83.8,84.08,473914.62
20260122,85.17,86.3,83.8,85.3,454922.07
20260123,85.64,86.46,83.8,84.25,397090.89
20260126,84.25,87.88,83.99,84.97,555121.98
20260127,84.95,87.48,83.53,84.7,447546.34
20260128,84.7,89.98,84.7,87.31,810651.82
20260129,88.1,89.97,86.19,87.6,611522.17
20260130,86.96,89.61,85.19,87.97,491902.01
20260202,86.6,86.96,79.58,80.33,828700.72
20260203,81.68,83.64,81.4,83.34,427000.97
20260204,83.8,85.2,82.98,84.8,312621.15
20260205,85.79,86.39,82.5,83.61,272272.42
20260206,81.94,88.46,81.52,86.7,543632.93
20260209,86.85,88.3,85.66,87.02,342524.39
20260210,86.66,86.66,84.03,86.0,322745.04
20260211,85.59,89.88,84.78,88.85,497909.69
20260212,88.8,89.52,87.7,88.0,276028.11
20260213,87.01,87.06,84.65,84.96,342402.09
20260224,86.38,87.39,84.77,87.25,296402.3
20260225,87.88,92.24,87.8,89.71,631194.85
20260226,89.69,92.28,89.26,90.02,416391.03
20260227,90.02,94.28,89.92,93.0,467424.93
20260302,93.1,95.2,91.88,94.32,513070.52
20260303,95.0,95.45,90.8,91.09,495287.41
20260304,89.06,90.26,87.24,88.46,441946.53
20260305,89.99,90.45,87.69,89.2,300582.18
20260306,88.65,93.48,87.6,93.0,380446.28
20260309,93.99,97.0,89.01,89.96,693148.03
20260310,88.03,89.2,87.0,88.21,424174.36
20260311,88.21,90.3,84.68,89.45,616565.14
20260312,89.41,90.3,86.5,86.6,529754.7
20260313,86.31,87.98,84.17,84.5,491371.22
20260316,84.1,84.2,78.12,79.43,798538.82
20260317,79.96,82.49,79.88,80.15,436746.54
20260318,80.2,80.88,79.05,80.66,276043.84
20260319,80.0,80.55,78.0,78.43,352353.87
20260320,78.42,79.4,77.0,77.0,422529.58
20260323,75.43,76.97,73.36,75.01,450660.69
20260324,75.8,76.04,73.55,75.13,318627.78
20260325,76.35,79.34,76.3,78.45,380638.71
20260326,78.0,80.89,77.6,79.23,336462.3
20260327,78.0,80.84,77.84,79.98,279932.47
20260330,78.96,80.75,78.9,80.61,262408.49
20260331,80.71,81.2,79.22,79.45,186980.95
20260401,80.9,83.42,80.9,82.87,369321.12
20260402,82.61,83.46,81.9,82.71,219188.99
20260403,83.3,84.28,82.03,82.38,249403.03
20260407,81.8,86.78,81.8,86.27,423610.3
20260408,85.0,87.01,83.99,86.44,382498.93
20260409,85.91,87.8,85.59,87.59,296315.3
20260410,87.86,89.6,87.0,89.07,291276.75
20260413,89.07,93.14,88.34,92.2,418485.2
20260414,92.04,92.19,89.06,90.68,402115.03
20260415,89.99,90.98,88.04,89.08,366894.58
20260416,89.0,91.36,88.89,90.1,267474.28
20260417,89.5,90.2,87.5,87.77,343329.4
